RESULT,PONO,BATCHNO,MIXNO,PDATE,M1T10,T10RE,M1T90,T90RE,M1ML,M1MH,D2MN,D2MNRE,Hard,HardRE,ram_count_closed,ram_closedtime,ram_closedtimemax,ram_opentime,ram_opentimemax,temp_avg_all,temp_avg_when_ram_closed,temp_avg_when_ram_open,temp_max_when_ram_closed,temp_max_when_ram_open,temp_max_minus_min_when_ram_closed,tempinc_avg_when_ram_closed,tempinc_max_when_ram_closed,heat_flux_when_ram_all,heat_flux_when_ram_closed,heat_flux_when_ram_open,volt_avg_all,volt_avg_when_ram_closed,volt_avg_when_ram_open,volt_max_when_ram_closed,volt_max_when_ram_open,volt_max_minus_min,physics_flux_all,physics_flux_when_ram_closed,physics_flux_when_ram_open
NG,14682802,9,K-PMB-17G,737864,134.0,OK,488.0,OK,5.31,26.12,111.1,NG,87.0,OK,5,238,84,85,39,92.25232198142416,97.28991596638657,78.14705882352942,126.3,124.0,126.3,0.002630010902906887,0.03703703703703695,29797.5,23155.0,6642.500000000001,129.35294117647058,149.5168067226891,72.8941176470588,210.0,177.0,210.0,41781.0,35585.0,6196.0
NG,14682802,12,K-PMB-17G,737864,122.0,OK,444.0,OK,5.23,26.3,113.9,NG,87.0,OK,4,241,119,82,39,90.89690402476779,95.77178423236515,76.56951219512196,125.4,120.5,125.4,0.0024448024250618497,0.03188775510204082,29359.7,23081.000000000004,6278.700000000002,119.95046439628484,137.551867219917,68.21951219512195,182.0,176.0,182.0,38744.0,33150.0,5594.0
NG,14682802,15,K-PMB-17G,737864,126.0,OK,466.0,OK,4.83,26.33,109.4,NG,89.0,OK,5,235,84,87,46,94.94596273291927,101.27829787234043,77.8413793103448,129.9,125.7,129.9,0.002672468946091173,0.03491271820448874,30572.6,23800.4,6772.199999999999,126.2608695652174,145.5276595744681,74.2183908045977,194.0,171.0,194.0,40656.0,34199.0,6457.0
NG,14682802,18,K-PMB-17G,737864,118.0,OK,452.0,OK,5.14,27.41,111.2,NG,86.0,OK,5,236,84,87,42,93.88359133126936,99.04703389830507,79.87701149425287,127.1,122.7,127.1,0.002675123660874404,0.048969072164948606,30324.4,23375.1,6949.3,123.59442724458204,143.0,70.95402298850574,192.0,165.0,192.0,39921.0,33748.0,6173.0
NG,14682802,21,K-PMB-17G,737864,124.0,OK,466.0,OK,5.03,26.16,110.9,NG,89.0,OK,5,238,84,85,42,97.971826625387,102.05672268907564,86.53411764705885,130.1,129.5,130.1,0.002510941698886009,0.032967032967033044,31644.9,24289.5,7355.4000000000015,122.87616099071207,148.3109243697479,51.658823529411755,199.0,189.0,199.0,39689.0,35298.0,4391.0
NG,14682802,24,K-PMB-17G,737864,123.0,OK,447.0,OK,4.94,26.12,110.1,NG,88.0,OK,5,238,85,85,35,99.56842105263159,103.95714285714287,87.27999999999999,133.5,132.0,133.5,0.0024910153864442183,0.03994845360824754,32160.6,24741.8,7418.799999999998,132.1300309597523,154.44117647058823,69.65882352941175,211.0,179.0,211.0,42678.0,36757.0,5921.0
NG,14681233,1,K-PMB-17G,737861,135.0,OK,460.0,OK,4.92,25.22,104.9,NG,89.0,OK,5,235,85,102,60,71.46350148367951,82.71744680851063,45.53529411764707,116.9,111.0,116.9,0.004535177749822657,0.1405152224824356,24083.2,19438.6,4644.5999999999985,110.13056379821958,145.6127659574468,28.382352941176467,215.0,145.0,215.0,37114.0,34219.0,2895.0
NG,14681233,3,K-PMB-17G,737861,131.0,OK,442.0,OK,4.46,24.0,106.8,NG,88.0,OK,5,239,84,84,38,87.0235294117647,91.56945606694559,74.08928571428572,119.4,115.6,119.4,0.002193339749051522,0.0326704545454545,28108.6,21885.1,6223.500000000001,124.87306501547987,145.25523012552298,66.8809523809524,200.0,201.0,200.0,40334.0,34716.0,5618.0
NG,14681132,9,K-PMB-17G,737860,125.0,OK,449.0,OK,5.05,25.33,109.9,NG,87.0,OK,4,239,119,84,37,88.96501547987616,93.610460251046,75.74761904761905,122.9,118.5,122.9,0.002861064009746696,0.05071315372424716,28735.7,22372.9,6362.800000000001,125.26934984520122,153.56485355648536,44.76190476190475,205.0,148.0,205.0,40462.0,36702.0,3760.0
NG,14681132,12,K-PMB-17G,737860,126.0,OK,398.0,OK,4.83,24.9,108.3,NG,87.0,OK,4,239,120,84,38,90.72755417956655,96.24309623430963,75.03452380952379,127.9,123.8,127.9,0.003417507724828399,0.09171075837742522,29305.0,23002.1,6302.9,126.61919504643964,156.69037656903762,41.05952380952381,209.0,138.0,209.0,40898.0,37449.0,3449.0
